event,participant,success,unix_ms,bjt,extra
"recording_start","P001",1,1780751895514,"2026-06-06T21:18:15.514+08:00","pid=25044 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260606_211815_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260606_211815_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=2.115279 recording_start_unix_ms=1780751895507 recording_start_bjt=2026-06-06T21:18:15.507+08:00"
"recording_stop","NA",1,1780751920509,"2026-06-06T21:18:40.509+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=151 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260606_211815_screen.mkv size_bytes=7797358"
"recording_start","P001",1,1780754132877,"2026-06-06T21:55:32.877+08:00","pid=15120 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260606_215532_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260606_215532_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=2.573870 recording_start_unix_ms=1780754132863 recording_start_bjt=2026-06-06T21:55:32.863+08:00"
"recording_stop","NA",1,1780754198540,"2026-06-06T21:56:38.540+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=201 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260606_215532_screen.mkv size_bytes=13080998"
"recording_start","AOITESTV5",1,1780756044875,"2026-06-06T22:27:24.875+08:00","pid=10728 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOITESTV5_20260606_222723_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOITESTV5_20260606_222723_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=6.618235 recording_start_unix_ms=1780756043946 recording_start_bjt=2026-06-06T22:27:23.946+08:00"
"recording_stop","NA",1,1780756101309,"2026-06-06T22:28:21.309+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=202 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOITESTV5_20260606_222723_screen.mkv size_bytes=10068637"
"recording_start","AOITESTV5",1,1780756211542,"2026-06-06T22:30:11.542+08:00","pid=39692 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOITESTV5_20260606_223011_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOITESTV5_20260606_223011_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=12.249509 recording_start_unix_ms=1780756211532 recording_start_bjt=2026-06-06T22:30:11.532+08:00"
"recording_stop","NA",1,1780756331205,"2026-06-06T22:32:11.205+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=201 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOITESTV5_20260606_223011_screen.mkv size_bytes=25626867"
"recording_start","FulltrialTest",1,1780898295930,"2026-06-08T13:58:15.930+08:00","pid=7228 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/FulltrialTest_20260608_135815_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/FulltrialTest_20260608_135815_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=18.938980 recording_start_unix_ms=1780898295098 recording_start_bjt=2026-06-08T13:58:15.098+08:00"
"recording_stop","NA",1,1780898497705,"2026-06-08T14:01:37.705+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=151 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/FulltrialTest_20260608_135815_screen.mkv size_bytes=24624360"
"recording_start","P001",1,1781093383965,"2026-06-10T20:09:43.965+08:00","pid=27092 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260610_200943_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 0 -offset_y -1080 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260610_200943_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=5.845528 recording_start_unix_ms=1781093383356 recording_start_bjt=2026-06-10T20:09:43.356+08:00"
"recording_stop","NA",1,1781093393351,"2026-06-10T20:09:53.351+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=101 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260610_200943_screen.mkv size_bytes=2538284"
"recording_start","P001",1,1781093940641,"2026-06-10T20:19:00.641+08:00","pid=9280 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260610_201900_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 0 -offset_y 0 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260610_201900_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=2.550433 recording_start_unix_ms=1781093940132 recording_start_bjt=2026-06-10T20:19:00.132+08:00"
"recording_stop","NA",1,1781093967764,"2026-06-10T20:19:27.764+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=151 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/P001_20260610_201900_screen.mkv size_bytes=5861365"
